iter	Passed	Remaining
0	175	174829
1	191	95501
2	207	69112
3	224	55993
4	240	47924
5	257	42662
6	274	38937
7	291	36185
8	323	35670
9	351	34774
10	387	34863
11	417	34366
12	447	34002
13	476	33559
14	491	32306
15	502	30895
16	511	29598
17	520	28392
18	529	27330
19	537	26352
20	546	25473
21	554	24661
22	563	23941
23	571	23260
24	581	22669
25	592	22192
26	602	21698
27	611	21235
28	621	20795
29	629	20368
30	639	19985
31	649	19654
32	658	19293
33	667	18965
34	676	18641
35	684	18339
36	693	18051
37	702	17772
38	710	17500
39	717	17231
40	726	16999
41	734	16752
42	742	16530
43	752	16340
44	759	16124
45	767	15918
46	775	15732
47	784	15556
48	792	15377
49	800	15206
50	807	15030
51	815	14867
52	823	14719
53	831	14568
54	839	14425
55	846	14275
56	854	14141
57	863	14022
58	871	13895
59	878	13768
60	886	13647
61	894	13526
62	902	13416
63	909	13299
64	917	13196
65	925	13091
66	933	12992
67	940	12894
68	948	12796
69	956	12705
70	964	12624
71	973	12544
72	999	12689
73	1015	12701
74	1030	12709
75	1045	12708
76	1061	12721
77	1075	12711
78	1089	12696
79	1103	12686
80	1115	12650
81	1124	12592
82	1133	12517
83	1140	12436
84	1148	12360
85	1155	12283
86	1163	12207
87	1171	12136
88	1178	12064
89	1186	11993
90	1194	11926
91	1201	11857
92	1208	11789
93	1216	11725
94	1223	11658
95	1231	11595
96	1239	11536
97	1247	11485
98	1255	11428
99	1264	11376
100	1272	11327
101	1280	11276
102	1288	11221
103	1296	11170
104	1303	11114
105	1311	11064
106	1319	11015
107	1327	10962
108	1335	10916
109	1344	10875
110	1352	10829
111	1359	10780
112	1367	10735
113	1375	10687
114	1382	10641
115	1390	10595
116	1397	10549
117	1405	10508
118	1413	10464
119	1421	10421
120	1428	10378
121	1436	10335
122	1443	10291
123	1451	10251
124	1458	10212
125	1466	10170
126	1473	10131
127	1480	10088
128	1488	10050
129	1495	10010
130	1503	9972
131	1511	9936
132	1519	9904
133	1526	9865
134	1534	9830
135	1542	9796
136	1549	9763
137	1557	9727
138	1564	9692
139	1572	9656
140	1579	9623
141	1587	9593
142	1595	9560
143	1602	9527
144	1610	9498
145	1618	9468
146	1626	9438
147	1634	9410
148	1642	9381
149	1650	9351
150	1657	9319
151	1665	9293
152	1672	9261
153	1680	9231
154	1688	9206
155	1696	9177
156	1703	9149
157	1711	9119
158	1719	9095
159	1727	9068
160	1735	9043
161	1742	9015
162	1750	8991
163	1759	8966
164	1766	8940
165	1774	8914
166	1782	8889
167	1789	8862
168	1796	8835
169	1804	8809
170	1812	8784
171	1819	8758
172	1826	8733
173	1834	8707
174	1841	8683
175	1849	8658
176	1857	8635
177	1864	8609
178	1871	8584
179	1879	8561
180	1886	8535
181	1893	8511
182	1901	8487
183	1908	8465
184	1916	8443
185	1923	8419
186	1931	8399
187	1939	8377
188	1947	8356
189	1955	8335
190	1962	8312
191	1969	8289
192	1977	8266
193	1985	8247
194	1993	8227
195	2001	8208
196	2008	8188
197	2015	8165
198	2023	8145
199	2031	8127
200	2039	8108
201	2047	8087
202	2054	8067
203	2062	8046
204	2069	8026
205	2077	8005
206	2084	7986
207	2092	7967
208	2099	7946
209	2107	7928
210	2115	7910
211	2122	7890
212	2130	7871
213	2137	7851
214	2144	7831
215	2152	7811
216	2159	7792
217	2167	7774
218	2174	7754
219	2181	7734
220	2189	7715
221	2196	7698
222	2204	7681
223	2212	7663
224	2219	7644
225	2226	7626
226	2234	7608
227	2242	7593
228	2251	7579
229	2260	7566
230	2268	7550
231	2276	7537
232	2284	7521
233	2294	7511
234	2302	7496
235	2312	7485
236	2321	7474
237	2330	7461
238	2339	7448
239	2346	7431
240	2355	7418
241	2363	7403
242	2372	7391
243	2380	7375
244	2388	7361
245	2397	7347
246	2406	7337
247	2415	7323
248	2425	7316
249	2435	7307
250	2443	7292
251	2452	7278
252	2460	7264
253	2469	7251
254	2477	7237
255	2484	7221
256	2492	7204
257	2499	7189
258	2507	7172
259	2514	7156
260	2522	7142
261	2530	7127
262	2537	7112
263	2545	7096
264	2553	7082
265	2561	7068
266	2568	7051
267	2576	7035
268	2583	7020
269	2591	7005
270	2598	6990
271	2606	6975
272	2614	6961
273	2621	6946
274	2629	6932
275	2636	6917
276	2644	6902
277	2652	6888
278	2659	6872
279	2666	6857
280	2674	6843
